name,phone,address,website,description
RESOURCE DIRECTORY,,,,"Disclaimer The Bexar County Behavioral Health Resource Directory provides a list of behavioral health resources and services that may be helpful to the public. Bexar County strives to ensure this information is accurate at the time of publication. However, Bexar County makes no representa- tions, guaranties, or warranties as to the accuracy, completeness, relia- bility, or suitability of the information or services contained herein. Bexar County shall under no circumstance be responsible for any er- rors or omissions which may occur in this Directory, be liable for any actions taken or damages as a result of reliance upon any information contained in this Directory, or be liable for the actions of any entity listed in the Directory. Under no circumstance should the inclusion of an entity in the Directory be construed as an endorsement or recom- mendation of the entity by Bexar County. Service Options To help assist in finding services that meet your needs, agencies were asked to indicate specific service options they have available. The fol- Telehealth Certain services are available over the phone Sliding Scale Service payments can be adjusted based on your income. Unfunded/No Cost Certain services may be eligible for the indicated service or payment method Our Team Gilbert R. Gonzales Director Leticia Dominguez, LCSW Manager Melissa D. Lucio, LCDC Substance Use Program Coordinator Victoria Gomez School-Based Mental Wellness Program Manager Stacey Eure Senior Program Analyst Contact Us 4"
CENTER FOR HEALTHCARE SERVICES,210-261-2427,"6800 Park Ten Blvd., Suite 200-S",,"chcsbc.org The Center for Health Care Services provides integrated care to im- prove the lives of children and adults with mental health conditions, substance use challenges, and intellectual or developmental disabili- ties. The Center for Health Care Services offers a sliding fee scale and accepts all patients regardless of inability to pay. Adult Behavioral Health Services Comprehensive mental health services to support each person’s goals for recovery, including: psychiatric evaluation and treatment, medication management, wellness counseling and education, indi- vidual and group therapy, psychiatric care, psychosocial rehabilita- tion, and case management offered at a variety of locations. Outpatient Mental Health Services Intensive Mental Health Services Long-Term Care Services Children’s Behavioral Health Services Being mentally healthy in childhood means reaching developmental and emotional milestones, learning healthy social skills, and how to cope when problems arise. When there is a concern that a child might not be meeting these milestones, The Center offers an array of services that can help. Outpatient Mental Health Services (ages 3-17) Juvenile Justice Programs (ages 10-17) Intensive Mental Health Services Substance Use Services The CHCS Restoration Center and transformational services help people break the cycle of addiction and regain sobriety through safe, meaningful programs that reduce harms associated with substance use, promote total recovery for people with co-occurring mental health and substance use disorders, and provide better care coordi- nation. Outpatient Treatment Residential Treatment Intellectual and Developmental Disability Services (IDD) People living with IDD deserve to live life to its fullest, and may re- quire long-term services and supports indefinitely. By promoting dignity and choice for adults with IDD, the CHCS Long-Term Care Services help improve the quality of life for consumers and their loved ones through programs designed for inclusivity, accessibil- ity, and independence. Residential Services Day Habilitation Employment Connections Other Help Specialties Primary Care Peer Services Homelessness Veteran Services Law Enforcement Supportive Housing Supported Employment Court-ordered Treatment High Utilizers of ERs & Inpatient Treatment Outreach, Linkage, and Support"
GENERAL SERVICES,,,,"Treatment options to help assess, stabilize, and regulate general mental health issues."
ALAMO AREA RAPE CRISIS CENTER	,210-521-7273,"4606 Centerview Drive, Suite 200",,"Individual Therapy, Group Therapy, Case Management, Crisis, Survi- vors of sexual violence and their family members are eligible for ser- vices."
BEXAR COUNTY FAMILY JUSTICE CENTER ,210-631-0100,,,"bcfjc.org 126 E. Nueva, 2nd Floor Coordinated services for victims of domestic and family violence in- cluding Criminal Justice Intervention, Civil Legal Services, Child Care, Counseling Services, and Life Skills"
"CAVIAR CLINICIAN, PLLC	",214-631-9762,,,"Provides counseling, therapy, life coaching, and consulting to fit your needs. Telehealth only, Individual and Group Therapy"
CENTERCARE HEALTH AND WELLNESS $ ,210-261-1500,"8122 Datapoint Dr., Ste 1003",,"centercaresa.org Individual and Group Therapy, Case Management, Medication Man- agement, Psychiatric Evaluations. Medicaid, Medicare, private insur- ance and self-pay accepted."
CENTER FOR HEALTHCARE SERVICES	,210-261-2427,,,"chcsbc.org The Center for Health Care Services provides integrated care to im- prove the lives of children and adults with mental health conditions, substance use challenges and intellectual or developmental disabili- ties. The Center for Health Care Services offers a sliding fee scale and accepts all patients regardless of inability to pay."
CHARLIE HEALTH ,866-540-1828,,,"charliehealth.com 1- Intensive outpatient therapy program that provides group, primary, and family therapy weekly and 100% virtually. Bilingual clinicians (Spanish and English) work with clients (ages 11-30) for a host of mental health and substance use issues."
COMMUNITY COUNSELING SERVICE $ ,210-434-1054,"590 North General McMullen, Suite 3 Affordable, bilingual, and accessible counseling",,"ccsweb.ollusa.edu services to individuals, couples, and families. Walk- in/phone-in service for clients who are ready to begin working on their problem and want to avoid waiting for an appointment."
CHILDREN'S BEHAVIORAL HEALTH CLINIC,210-261-3350,,,
CONNECTED,210-736-4847,227 W. Drexel,,"Outpatient mental health treatment for Bexar Coun- ty youth (ages 3-17) with a DSM-V Diagnosis. Ser- vices include skills training, counseling, medication training and support, psychiatric evaluation, medi- cation monitoring, and family partner support. 6812 Bandera Road CHILDREN'S BEREAVEMENT CENTER OF SOUTH TEXAS	 205 W. Olmos Drive Individual Therapy, Group Therapy, grief counsel- ing, bereavement support for children (ages 3-24) and their families through peer support groups, school-based programs, bereavement camps, and individual counseling based on assessment"
THE CHILDREN’S SHELTER,210-212-2500,,,childrensshelter.org 2939 West Woodlawn
HARVEY E. NAJIM HOPE CENTER 210-503-4500,210-934-2511,"Specialized, trauma-focused outpatient mental health clinic for children (ages 3-17) and families impacted by abuse, neglect, and/or abandonment. Therapy is also offered to adults of any age who are victims of crime and impacted by trauma.",,"myconnected.net 4346 NW Loop 410 Services for current and former foster youth includ- ing case management, trauma-informed education, skill-building workshops, intensive advocacy ser- vices, career and employment services. Services are available to current and former foster youth (ages 16-24). DEPRESSION AND BIPOLAR SUPPORT ALLI- ANCE SAN ANTONIO Facebook: DBSA San Antonio 1-210-945-0689 6851 Citizens Parkway Peer/Recovery Support, weekly free confidential peer support group meetings in-person and online"
THE ECUMENICAL CENTER	,210-616-0885,"8310 Ewing Halsell Drive (Headquarters) Individual Therapy, Group Therapy, Music and Art Therapies, Neurofeedback, EMDR/Trauma",,ecrh.org
FAMILY SERVICE ASSOCIATION	,210-299-2400,,,"family-service.org Family Service counseling services are open to eve- ryone and include features such as individual and group therapy and individualized treatment plans. Services are available on a sliding scale to unin- sured individuals. To schedule an appointment, call 210-299-2406."
FOCUS AND BALANCE $ ,210-858-9980,2040 Babcock Rd #301,,"Medication management, Crisis Services, In-house ADHD Assessment, Autism Diagnosis, Personality Assessment, Cognitive Testing, Clearance Letters, Transcranial Magnetic Stimulation (TMS)"
THE GRACE TREE FOUNDATION $ ,210-334-9642,"8620 N. New Braunfels Ave., Suite 414",,"Trauma Specific Somatic Services: Somatic Experi- encing®, Neurosomatic Movement Therapy, Yoga Therapy, Sessions by appointment only"
GUARDIAN HOUSE	,210-733-3349,1818 San Pedro Ave,,"guardianhouse.org Helping children and parents in high-conflict di- vorce situations redefine and restructure their fami- lies during this unstable transition period. Services offered include Individual Therapy, Couples Coun- seling, Family Counseling, Reunification Counsel- ing, Supervised Visitations, Monitored Exchanges, Parent Education"
HEALTHY INNOVATIVE PROCESSES	,210-271-3630,"5282 Medical Drive, Suite 605",,"hip-sa.org Nonprofit corporation aimed at cultivating and im- proving access to employment, behavioral health, and wellness services for people with disabilities."
